HOME_HT_FG3M,HOME_HT_FG3A,HOME_HT_FTM,HOME_HT_FTA,HOME_HT_OREB,HOME_HT_DREB,HOME_HT_AST,HOME_HT_STL,HOME_HT_BLK,HOME_HT_TO,HOME_HT_PF,HOME_HT_PTS,HOME_HT_FG2M,HOME_HT_FG2A,HOME_HT_Best_PTS_Player,HOME_HT_Second_Best_PTS_Player,HOME_HT_Best__Players_PF,AWAY_HT_FG3M,AWAY_HT_FG3A,AWAY_HT_FTM,AWAY_HT_FTA,AWAY_HT_OREB,AWAY_HT_DREB,AWAY_HT_AST,AWAY_HT_STL,AWAY_HT_BLK,AWAY_HT_TO,AWAY_HT_PF,AWAY_HT_PTS,AWAY_HT_FG2M,AWAY_HT_FG2A,AWAY_HT_Best_PTS_Player,AWAY_HT_Second_Best_PTS_Player,AWAY_HT_Best__Players_PF,HOME_FT_FG3M,HOME_FT_FG3A,HOME_FT_FTM,HOME_FT_FTA,HOME_FT_OREB,HOME_FT_DREB,HOME_FT_AST,HOME_FT_STL,HOME_FT_BLK,HOME_FT_TO,HOME_FT_PF,HOME_FT_PTS,HOME_FT_FG2M,HOME_FT_FG2A,HOME_FT_Best_PTS_Player,HOME_FT_Second_Best_PTS_Player,AWAY_FT_FG3M,AWAY_FT_FG3A,AWAY_FT_FTM,AWAY_FT_FTA,AWAY_FT_OREB,AWAY_FT_DREB,AWAY_FT_AST,AWAY_FT_STL,AWAY_FT_BLK,AWAY_FT_TO,AWAY_FT_PF,AWAY_FT_PTS,AWAY_FT_FG2M,AWAY_FT_FG2A,AWAY_FT_Best_PTS_Player,AWAY_FT_Second_Best_PTS_Player,HOME,AWAY,GAME_ID,tot_HT,tot,date,game_time
1,12,6,9,5,19,6,5,5,7,8,41,16,30,9,7,0.5,4,10,0,2,3,19,9,2,3,9,8,38,13,30,12,6,0.5,5,25,20,25,13,29,13,10,6,14,24,91,28,62,17,16,9,21,14,23,4,41,26,6,9,18,21,99,29,52,31,15,DET,IND,21300053,79,190,"TUESDAY, NOVEMBER 5, 2013",02:20
4,13,8,11,5,7,7,4,1,7,12,54,17,28,15,14,2,6,11,16,17,8,15,12,6,3,10,13,64,15,26,17,13,1.5,8,28,19,23,11,22,12,11,4,14,27,97,27,54,32,18,8,21,34,42,16,35,17,9,5,22,25,102,22,50,25,18,NYK,CHA,21300054,118,199,"TUESDAY, NOVEMBER 5, 2013",02:42
4,5,9,11,3,20,11,6,6,9,9,45,12,34,14,7,0.666666667,5,12,4,8,3,18,10,7,1,9,11,41,11,28,11,8,1.5,10,18,14,19,8,32,26,12,11,13,20,98,27,67,20,17,12,25,14,22,7,34,25,10,4,15,20,104,27,53,25,18,NOP,PHX,21300055,86,202,"TUESDAY, NOVEMBER 5, 2013",02:13
5,12,8,10,7,22,21,2,0,2,6,67,22,40,16,10,1,4,16,6,7,5,14,10,2,2,5,7,48,15,31,10,6,0.6,13,27,12,14,10,40,34,10,3,12,14,123,36,67,30,18,12,31,14,20,9,26,21,9,4,14,12,104,27,57,21,11,DAL,LAL,21300056,115,227,"TUESDAY, NOVEMBER 5, 2013",02:06
5,9,3,5,5,23,14,1,4,12,12,52,17,35,8,8,1,2,7,9,10,5,13,12,7,5,7,8,43,14,38,11,11,1.5,9,19,15,20,10,35,22,4,4,22,23,94,26,64,20,15,4,16,18,20,8,31,27,14,9,16,22,102,36,70,24,17,DEN,SAS,21300057,95,196,"TUESDAY, NOVEMBER 5, 2013",02:10
8,18,8,14,5,14,10,4,6,9,15,50,9,24,12,12,1.5,2,12,13,18,5,20,10,4,0,9,13,55,18,27,18,18,1.5,10,31,19,29,11,19,22,9,6,14,28,101,26,56,22,21,6,22,28,34,10,37,17,6,3,20,27,116,35,53,33,29,POR,HOU,21300058,105,217,"TUESDAY, NOVEMBER 5, 2013",02:20
5,15,6,7,4,17,12,3,3,12,11,45,12,23,10,9,1,4,13,6,7,6,14,15,8,3,5,5,54,18,35,14,13,0,10,32,20,21,10,29,22,10,4,18,26,100,25,49,26,15,8,22,19,26,9,27,26,11,7,14,15,105,31,59,27,25,SAC,ATL,21300059,99,205,"TUESDAY, NOVEMBER 5, 2013",02:16
2,8,7,12,6,11,14,2,5,4,8,53,20,31,14,10,0.5,4,8,5,6,7,9,9,1,0,6,11,53,18,34,9,8,1,3,15,17,30,10,27,24,5,8,8,19,92,33,58,23,14,7,16,13,15,11,27,18,2,3,12,27,90,28,63,20,14,CHA,TOR,21300060,106,182,"WEDNESDAY, NOVEMBER 6, 2013",02:14
1,7,4,4,9,15,7,3,3,9,13,37,15,36,9,6,0.333333333,1,5,12,14,5,17,9,2,2,6,8,43,14,31,12,10,1,7,18,18,21,17,35,21,9,7,14,24,97,29,68,21,17,5,16,23,27,11,29,15,4,5,17,20,80,21,58,17,17,IND,CHI,21300061,80,177,"WEDNESDAY, NOVEMBER 6, 2013",02:27
3,9,2,3,3,21,14,5,2,6,9,57,23,38,14,9,1,0,8,10,13,8,17,9,3,1,10,7,42,16,37,12,10,166.666.666.667,5,16,13,17,7,44,21,7,4,15,17,98,35,66,30,12,3,20,15,21,15,36,20,9,5,13,19,90,33,76,23,18,ORL,LAC,21300062,99,188,"WEDNESDAY, NOVEMBER 6, 2013",02:17
3,10,10,14,8,22,11,1,1,11,6,51,16,35,12,10,0.5,9,14,3,3,2,14,17,5,5,5,9,60,15,37,13,12,1,6,18,18,26,11,39,26,5,3,20,15,102,33,65,24,23,18,33,12,16,10,30,32,10,5,11,20,116,25,65,24,19,PHI,WAS,21300063,111,218,"WEDNESDAY, NOVEMBER 6, 2013",02:04
5,11,3,3,4,19,13,4,1,8,7,50,16,35,13,8,1,1,4,1,3,4,17,9,5,3,11,8,34,15,35,12,8,1,7,20,10,14,10,32,22,5,4,14,18,99,34,70,20,18,1,10,12,18,11,31,14,8,4,20,22,87,36,70,28,22,BOS,UTA,21300064,84,186,"WEDNESDAY, NOVEMBER 6, 2013",02:07
